pid,isbn,large,small
11100820503,11100820503,True,True
11100820504,11100820504,True,True
11100820505,11100820505,True,True
11100820506,11100820506,True,True
11100820507,11100820507,True,True
11100820508,9789865760663,True,True
11100820509,11100820509,True,True
11100820510,11100820510,True,True
11100820511,9789864501366,True,True
11100820512,9789869430784,True,True
11100820513,9789864501403,True,True
11100820514,9789869308854,True,True
11100820515,9789869442008,True,True
11100820516,9789869490610,True,True
11100820517,9789868891227,True,True
11100820518,9789574161720,True,True
11100820519,9789864562893,True,True
11100820520,9789863193005,True,True
11100820521,9789881474117,True,True
11100820522,9789861994796,True,True
11100820523,9789862893463,True,True
11100820524,9789862893487,True,True
11100820525,9789869479769,True,True
11100820526,9789864082865,True,True
11100820527,9789864083039,True,True
11100820528,9789865752569,True,True
11100820529,9789862242728,True,True
11100820530,9789869479776,True,True
11100820531,9789861944340,True,True
11100820532,9789863502364,True,True
11100820533,9789869466844,True,True
11100820534,9789571463032,True,True
11100820535,9789571463070,True,True
11100820536,9789571463063,True,True
11100820537,9789571463049,True,True
11100820538,9789571463087,True,True
11100820539,9789869439466,True,True
11100820540,11100820540,True,True
11100820541,11100820541,True,True
11100820542,11100820542,True,True
11100820543,9789861441610,True,True
11100820544,9789864870608,True,True
11100820545,9789864870769,True,True
11100820546,9789864870431,True,True
11100820547,9789864870684,True,True
11100820548,9789864870509,True,True
11100820549,9789864870578,True,True
11100820550,9789864870714,True,True
11100820551,9789864870660,True,True
11100820552,11100820552,True,True
11100820553,11100820553,True,True
11100820554,11100820554,True,True
11100820555,11100820555,True,True
11100820556,11100820556,True,True
11100820557,11100820557,True,True
11100820558,9789862717783,True,True
11100820559,9789860459876,True,True
11100820560,9789869460637,True,True
11100820561,9789869460620,True,True
11100820562,9789869460354,True,True
11100820563,9789869503105,True,True
11100820564,9789869494670,True,True
11100820565,9789869494687,True,True
11100820566,9789869494663,True,True
11100820567,11100820567,True,True
11100820568,9576263808,True,True
11100820569,9576263824,True,True
11100820570,9573310198,True,True
11100820571,9789869482677,True,True
11100820572,9789861944357,True,True
11100820573,9789621444967,True,True
11100820574,9789866805189,True,True
11100820575,9579642389,True,True
11100820576,9789863585268,True,True
11100820577,9789869506328,True,True
11100820578,9789863585213,True,True
11100820579,9789869494694,True,True
11100820580,9789869494618,True,True
11100820581,9789863594147,True,True
11100820582,9789869417488,True,True
11100820583,9789863585176,True,True
11100820584,9789869500647,True,True
11100820585,9789865930363,True,True
11100820586,9789869423373,True,True
11100820587,9789863585183,True,True
11100820588,9789869135122,True,True
11100820589,9789863585237,True,True
11100820590,9789864744190,True,True
11100820591,9789864744213,True,True
11100820592,9789864744206,True,True
11100820593,9789864744220,True,True
11100820594,9789864744084,True,True
11100820595,11100820595,True,True
11100820596,9789864744244,True,True
11100820597,9789864744251,True,True
11100820598,9789864744237,True,True
11100820599,9789864744268,True,True
11100820600,9789864744329,True,True
11100820601,9789864743742,True,True
11100820602,9789864744305,True,True
11100820603,9789864744312,True,True
11100820604,9789864744299,True,True
11100820605,9789869435673,True,True
11100820606,9789869383110,True,True
11100820607,9789865757748,True,True
11100820608,9789571190969,True,True
11100820609,9789571191980,True,True
11100820610,9789573910237,True,True
11100820611,9789865739898,True,True
11100820612,9789864827015,True,True
11100820613,9789864820665,True,True
11100820614,9789864821280,True,True
11100820615,9789864829811,True,True
11100820616,9789864827732,True,True
11100820617,9789863375869,True,True
11100820618,9789864824946,True,True
11100820619,9789864700646,True,True
11100820620,9789864709908,True,True
11100820621,9789864821488,True,True
11100820622,9789864627288,True,True
11100820623,9789864829071,True,True
11100820624,9789864829101,True,True
11100820625,9789864707652,True,True
11100820626,9789864864713,True,True
11100820627,9789866256127,True,True
11100820628,9789866256110,True,True
11100820629,9789866256134,True,True
11100820630,9789861614670,True,True
11100820631,9789865756680,True,True
11100820632,9789869378765,True,True
11100820633,9771996683003,True,True
11100820634,9789869136693,True,True
11100820635,11100820635,True,True
11100820636,11100820636,True,True
11100820637,11100820637,True,True
11100820638,11100820638,True,True
11100820639,11100820639,True,True
11100820640,9789869473033,True,True
11100820641,9789869473095,True,True
11100820642,9789869494328,True,True
11100820643,9789869494311,True,True
11100820644,11100820644,True,True
11100820645,11100820645,True,True
11100820646,11100820646,True,True
11100820647,11100820647,True,True
11100820648,11100820648,True,True
11100820649,11100820649,True,True
11100820650,11100820650,True,True
11100820651,9789578008977,True,True
11100820652,9789578008960,True,True
11100820653,9789869460644,True,True
11100820654,9789881290175,True,True
11100820655,9789881290168,True,True
11100820656,9789869486576,True,True
11100820657,9789869516815,True,True
11100820658,9789869503112,True,True
11100820659,9789869494649,True,True
11100820660,9789869395595,True,True
11100820661,9789869460989,True,True
11100820662,9789863185871,True,True
11100820663,9789863594222,True,True
11100820664,9789863185956,True,True
11100820665,9789863594260,True,True
11100820666,9789887781882,True,True
11100820667,11100820667,True,True
11100820668,11100820668,True,True
11100820669,9789869470551,True,True
11100820670,11100820670,True,True
11100820671,11100820671,True,True
11100820672,9789576386961,True,True
11100820673,9789864800216,True,True
11100820674,9789864800247,True,True
11100820675,9789869507004,True,True
11100820676,11100820676,True,True
11100820677,11100820677,True,True
11100820678,11100820678,True,True
11100820679,11100820679,True,True
11100820680,9789869478045,True,True
11100820681,11100820681,True,True
11100820682,11100820682,True,True
11100820683,11100820683,True,True
11100820684,11100820684,True,True
11100820685,9789869229418,True,True
11100820686,9789864520879,True,True
11100820687,11100820687,True,True
11100820688,9789864520862,True,True
11100820689,11100820689,True,True
11100820690,9789861916842,True,True
11100820691,9789862821985,True,True
11100820692,9789864520893,True,True
11100820693,9789865812638,True,True
11100820694,9789864520909,True,True
11100820695,9789864520916,True,True
11100820696,9789864764662,True,True
11100820697,9789864764471,True,True
11100820698,9789864520923,True,True
11100820699,9789570849745,True,True
11100820700,9789862272244,True,True
11100820701,11100820701,True,True
11100820702,9789865930097,True,True
11100820703,9789862431535,True,True
11100820704,9789861336213,True,True
11100820705,9789861754659,True,True
11100820706,9789861754673,True,True
11100820707,9789861364940,True,True
11100820708,9789861336282,True,True
11100820709,9789861336268,True,True
11100820710,9789861336251,True,True
11100820711,9789861754666,True,True
11100820712,9789861343051,True,True
11100820713,9789861372396,True,True
11100820714,9789861364957,True,True
11100820715,9789861336275,True,True
11100820716,9789861336244,True,True
11100820717,9789869486132,True,True
11100820718,9789869448345,True,True
11100820719,9789863842163,True,True
11100820720,9789863842101,True,True
11100820721,9789863842156,True,True
11100820722,9789863842200,True,True
11100820723,9789869408875,True,True
11100820724,9789869480246,True,True
11100820725,9789866139635,True,True
11100820726,9789571370781,True,True
11100820727,11100820727,True,True
11100820728,9789571370804,True,True
11100820729,9789571370729,True,True
11100820730,9789866399633,True,True
11100820731,9789571370712,True,True
11100820732,9789864011742,True,True
11100820733,9789571370316,True,True
11100820734,9789864011827,True,True
11100820735,9789571370705,True,True
11100820736,9789864011735,True,True
11100820737,9789571370699,True,True
11100820738,9789864011773,True,True
11100820739,9789571370613,True,True
11100820740,9789869497268,True,True
11100820741,9789866081804,True,True
11100820742,9789863690603,True,True
11100820743,9789863811541,True,True
11100820744,9789869458078,True,True
11100820745,9789869481113,True,True
11100820746,11100820746,True,True
11100820747,9789863192671,True,True
11100820748,9789869481168,True,True
11100820749,9789869481182,True,True
11100820750,9789869498906,True,True
11100820751,9789869481175,True,True
11100820752,9789869506717,True,True
11100820753,9789869348164,True,True
11100820754,9789869348171,True,True
11100820755,9789865962357,True,True
11100820756,9789865962364,True,True
11100820757,9789865962371,True,True
11100820758,11100820758,True,True
11100820759,11100820759,True,True
11100820760,11100820760,True,True
11100820761,11100820761,True,True
11100820762,11100820762,True,True
11100820763,11100820763,True,True
11100820764,11100820764,True,True
11100820765,11100820765,True,True
11100820766,11100820766,True,True
11100820767,11100820767,True,True
11100820768,11100820768,True,True
11100820769,9789869102049,True,True
11100820770,9789574344260,True,True
11100820771,9789869494908,True,True
11100820772,9789865914813,True,True
11100820773,9789861336275,True,True
11100820774,9789869418539,True,True
11100820775,9789869418515,True,True
11100820776,9789869418522,True,True
11100820777,9789869419604,True,True
11100820778,9789869418553,True,True
11100820779,11100820779,True,True
11100820780,11100820780,True,True
11100820781,11100820781,True,True
11100820782,11100820782,True,True
11100820783,11100820783,True,True
11100820784,11100820784,True,True
11100820785,11100820785,True,True
11100820786,11100820786,True,True
11100820787,11100820787,True,True
11100820788,11100820788,True,True
11100820789,11100820789,True,True
11100820790,11100820790,True,True
11100820791,11100820791,True,True
11100820792,11100820792,True,True
11100820793,11100820793,True,True
11100820794,11100820794,True,True
11100820795,9784510600615,True,True
11100820796,9789860510591,True,True
11100820797,9789860522273,True,True
11100820798,9789860522396,True,True
11100820799,9789860524512,True,True
11100820800,9789860526516,True,True
11100820801,9789860526561,True,True
11100820802,9789860526653,True,True
11100820803,9789860526981,True,True
11100820804,9789860527445,True,True
11100820805,9789860528251,True,True
11100820806,11100820806,True,True
11100820807,9789869498340,True,True
11100820808,9789861519586,True,True
11100820809,9789861519593,True,True
11100820810,9789869488921,True,True
11100820811,9789869445160,True,True
11100820812,9789869445177,True,True
11100820813,9789869515115,True,True
11100820814,9789864792610,True,True
11100820815,9789864792672,True,True
11100820816,9789864764860,True,True
11100820817,9789862969670,True,True
11100820818,9789862969687,True,True
11100820819,9789862969717,True,True
11100820820,9789862969724,True,True
11100820821,9789869483711,True,True
11100820822,9789576098567,True,True
11100820823,9789573280446,True,True
11100820824,11100820824,True,True
11100820825,9789573280439,True,True
11100820826,11100820826,True,True
11100820827,9789869506212,True,True
11100820828,9789573280354,True,True
11100820829,9789577626134,True,True
11100820830,9789573280361,True,True
11100820831,9789869339384,True,True
11100820832,9789861615622,True,True
11100820833,9789573280460,True,True
11100820834,9789571075785,True,True
11100820835,9789571075631,True,True
11100820836,9789571073323,True,True
11100820837,9789571075983,True,True
11100820838,9789571076195,True,True
11100820839,9789571075815,True,True
11100820840,11100820840,True,True
11100820841,9789571075228,True,True
11100820842,9789571076218,True,True
11100820843,9789865668860,True,True
11100820844,9789861615653,True,True
11100820845,9789869491617,True,True
11100820846,9789861615646,True,True
11100820847,9789864611195,True,True
11100820848,9789573280347,True,True
11100820849,9789861615639,True,True
11100820850,9789869515108,True,True
11100820851,9789864060894,True,True
11100820852,9789864611133,True,True
11100820853,9789573280408,True,True
11100820854,9789861615615,True,True
11100820855,9789864611140,True,True
11100820856,9789570328363,True,True
11100820857,9789573280415,True,True
11100820858,9789577800602,True,True
11100820859,9789869285094,True,True
11100820860,9789573280422,True,True
11100820861,9577372422,True,True
11100820862,9789869410946,True,True
11100820863,11100820863,True,True
11100820864,9789574346196,True,True
11100820865,9789869397704,True,True
11100820866,9789573280323,True,True
11100820867,9789869512107,True,True
11100820868,9789573280392,True,True
11100820869,9789862717684,True,True
11100820870,9789862123324,True,True
11100820871,9789862123331,True,True
11100820872,9789573280385,True,True
11100820873,9789573280279,True,True
11100820874,11100820874,True,True
11100820875,11100820875,True,True
11100820876,11100820876,True,True
11100820877,9789862486597,True,True
11100820878,11100820878,True,True
11100820879,9789573280187,True,True
11100820880,9789862486399,True,True
11100820881,9789862486610,True,True
11100820882,9789869501835,True,True
11100820883,9789573280170,True,True
11100820884,9789862486603,True,True
11100820885,9789869476775,True,True
11100820886,9789865601348,True,True
11100820887,9789869507714,True,True
11100820888,9789869507707,True,True
11100820889,9789869495080,True,True
11100820890,9789869445047,True,True
11100820891,9789869481359,True,True
11100820892,9789869481311,True,True
11100820893,11100820893,True,True
11100820894,11100820894,True,True
11100820895,11100820895,True,True
11100820896,11100820896,True,True
11100820897,11100820897,True,True
11100820898,9789862867273,True,True
11100820899,9789865601126,True,True
11100820900,9789577325495,True,True
11100820901,9789865601256,True,True
11100820902,9789863871859,True,True
11100820903,9789865601232,True,True
11100820904,9789862486580,True,True
11100820905,9789864621194,True,True
11100820906,9789864860357,True,True
11100820907,9789864865031,True,True
11100820908,9789864312061,True,True
11100820909,9789864628483,True,True
11100820910,11100820910,True,True
11100820911,9789864621446,True,True
11100820912,9789864707911,True,True
11100820913,11100820913,True,True
